,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_boost_from_average,param_boosting_type,param_cat_l2,param_class_weight,param_data_sample_strategy,param_device,param_enable_bundle,param_gpu_use_dp,param_learning_rate,param_max_bin,param_max_depth,param_n_estimators,param_num_leaves,param_objective,param_tree_learner,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1
0,0.6003997325897217,0.084359699681494,0.06000018119812012,0.0020004273063349044,True,gbdt,5,balanced,goss,gpu,True,False,0.1,255,5,5,2,binary,feature,"{'boost_from_average': 'True', 'boosting_type': 'gbdt', 'cat_l2': 5, 'class_weight': 'balanced', 'data_sample_strategy': 'goss', 'device': 'gpu', 'enable_bundle': 'True', 'gpu_use_dp': 'False', 'learning_rate': 0.1, 'max_bin': 255, 'max_depth': 5, 'n_estimators': 5, 'num_leaves': 2, 'objective': 'binary', 'tree_learner': 'feature'}",0.9428769017980636,0.9411479944674965,0.9410788381742738,0.9435645618645826,0.9371325817829725,0.9411601756174779,0.002234121673508496,1606,0.9408520349942944,0.9412842767730558,0.9413015664442063,0.9406801639032487,0.9415100537699476,0.9411256191769505,0.0003089331111479838,0.9841245842153009,0.9850950570342205,0.9831818181818182,0.9853208232445521,0.9825901038485033,0.984062477304879,0.0010580129257935168,1446,0.9841269841269841,0.9838850339362226,0.9843631395172309,0.9838268792710706,0.9844443601320332,0.9841292793967084,0.00024701148757107,0.9002766251728908,0.895850622406639,0.8975103734439834,0.9005532503457815,0.8900262830266981,0.8968434308791986,0.0038328467077001194,1606,0.896158235070369,0.8972647740239981,0.8968498219163872,0.8960890763857672,0.8971991701244814,0.8967122155042005,0.0005013138591099762,0.983329000304173,0.986445596092813,0.9819800604137134,0.9827135287847646,0.9821483585688273,0.9833233088328583,0.0016312796370981926,1606,0.9834565390751752,0.9826799704373705,0.983792412714522,0.9835989922393529,0.9832990176405821,0.9833653864214005,0.00037932356260045953,0.9403351632476163,0.9383556682361464,0.9383947939262473,0.941031941031941,0.9340204688974377,0.9384276070678779,0.0024433765459444113,1606,0.938084809874577,0.9385806264920784,0.9385709374491106,0.9379105666045351,0.938799138882356,0.9383892158605314,0.0003345043389845562
1,0.6011990547180176,0.07998654523524946,0.061799812316894534,0.0011650845510506038,True,gbdt,5,balanced,goss,gpu,True,False,0.1,255,5,5,4,binary,feature,"{'boost_from_average': 'True', 'boosting_type': 'gbdt', 'cat_l2': 5, 'class_weight': 'balanced', 'data_sample_strategy': 'goss', 'device': 'gpu', 'enable_bundle': 'True', 'gpu_use_dp': 'False', 'learning_rate': 0.1, 'max_bin': 255, 'max_depth': 5, 'n_estimators': 5, 'num_leaves': 4, 'objective': 'binary', 'tree_learner': 'feature'}",0.9885892116182573,0.9903872752420471,0.9887966804979254,0.989764160730341,0.9893491942734629,0.9893773044724068,0.0006524880764610806,1501,0.9894533005982227,0.9890037691483108,0.9894014315847712,0.9891595636162451,0.9898684278773838,0.9893772985649868,0.00029478787160307023,0.9800244598450877,0.9833674164962508,0.9801630434782609,0.9820310372992105,0.9801818922220714,0.9811535698681763,0.0013320101656114035,1606,0.9812327882228946,0.9803988178143154,0.9811981504147966,0.9807313260381975,0.9821003198802151,0.9811322804740839,0.0005745037652470203,0.9975103734439834,0.9976486860304288,0.9977869986168741,0.9977869986168741,0.9988933462442938,0.9979252805904908,0.0004947822570397036,1151,0.9979943981465472,0.9979598188042463,0.9979252394619454,0.9979252394619454,0.9979253112033195,0.9979460014156007,2.765272543060189e-05,0.9918805250904389,0.9923038132569649,0.9916016616640745,0.9921578638521232,0.9923142571404902,0.9920516242008184,0.00027408153334208926,1596,0.9919423083605143,0.9920385945923612,0.9926551594872409,0.9920080778874097,0.9929881732670882,0.9923264627189228,0.00041897826802068044,0.9886901089862226,0.9904565739787162,0.9888965044551062,0.9898463227222832,0.989449164154563,0.9894677348593783,0.0006407000262705343,1501,0.9895426181169855,0.9891013777503599,0.9894910082117571,0.9892535778558574,0.989949576372929,0.9894676316615778,0.0002892753344542516
2,0.5570011615753174,0.009467142327869962,0.06219916343688965,0.003653415214848079,True,gbdt,5,balanced,goss,gpu,True,False,0.1,255,5,5,8,binary,feature,"{'boost_from_average': 'True', 'boosting_type': 'gbdt', 'cat_l2': 5, 'class_weight': 'balanced', 'data_sample_strategy': 'goss', 'device': 'gpu', 'enable_bundle': 'True', 'gpu_use_dp': 'False', 'learning_rate': 0.1, 'max_bin': 255, 'max_depth': 5, 'n_estimators': 5, 'num_leaves': 8, 'objective': 'binary', 'tree_learner': 'feature'}",0.9914246196403873,0.9917704011065007,0.9905947441217151,0.9930838923853655,0.9890033888927312,0.99117540922934,0.0013500572898621761,1411,0.991787406203534,0.9909747916594627,0.9920813306130918,0.9915282076107816,0.9906291602551911,0.9914001792684122,0.0005302316562953845,0.984984984984985,0.9888629176405884,0.9850929978118161,0.9878215654077723,0.9826597487711632,0.985884442923265,0.0022116879293195583,1376,0.9860892747282795,0.9860668926089486,0.9864961881645072,0.9858163300181141,0.9850940170940171,0.9859125405227733,0.00046366823920422206,0.9980636237897649,0.9947441217150761,0.9962655601659751,0.998478561549101,0.9955733849771753,0.9966250504394185,0.0014337449623468698,1501,0.9976486047235381,0.9960233756353954,0.9978215014350427,0.9974065493274318,0.9963347164591978,0.9970469495161212,0.0007274903579690731,0.9960928989973772,0.9969202206114449,0.9965282010372488,0.9968348535472711,0.9952354193488766,0.9963223187084438,0.0006158814498897842,1461,0.9968565788722089,0.9964966764222805,0.9969996773714719,0.9969316859983365,0.9963537542284964,0.9967276745785588,0.00025510745660151123,0.9914811761472933,0.9917948010756394,0.9906477788474762,0.9931214747558124,0.9890744176458462,0.9912239296944134,0.0013375424461917868,1411,0.991835261357581,0.9910201273008774,0.992126525700533,0.9915775722781808,0.9906824823792333,0.9914483938032811,0.0005284409067409252
3,0.5823999404907226,0.03121835265474836,0.06260018348693848,0.0014977845165927372,True,gbdt,5,balanced,goss,gpu,True,False,0.1,255,5,5,16,binary,feature,"{'boost_from_average': 'True', 'boosting_type': 'gbdt', 'cat_l2': 5, 'class_weight': 'balanced', 'data_sample_strategy': 'goss', 'device': 'gpu', 'enable_bundle': 'True', 'gpu_use_dp': 'False', 'learning_rate': 0.1, 'max_bin': 255, 'max_depth': 5, 'n_estimators': 5, 'num_leaves': 16, 'objective': 'binary', 'tree_learner': 'feature'}",0.991701244813278,0.9929460580912863,0.9905255878284924,0.9929455702330728,0.9890033888927312,0.9914243699717723,0.001508323796276088,1371,0.9918911442304368,0.9918738545592862,0.9921159099553927,0.9913553138885527,0.9909576583274261,0.991638776192219,0.00042210911306841004,0.985390496996177,0.9890230515916575,0.9850909588291615,0.9876847290640394,0.9808215451577802,0.985602156327763,0.002799999975793056,1411,0.986291535621496,0.9867236954662104,0.9866967613966691,0.9856122483852227,0.9850042698548249,0.9860657021448846,0.0006654998975001284,0.9982019363762102,0.996957123098202,0.9961272475795298,0.9983402489626556,0.9975100290496611,0.9974273170132518,0.0008187287747389404,1283,0.9976486047235381,0.9971644939313254,0.9976831840658391,0.9972682319582281,0.9970954356846473,0.9973719900727158,0.00024643867025263836,0.996485961176824,0.9971177608282685,0.9969172649690375,0.9971448945359354,0.9960460183520081,0.9967423799724149,0.00042051959001668894,1433,0.9976149209836918,0.9972318518451707,0.9976952651331283,0.9976710735240516,0.9973060737395149,0.9975038370451115,0.0001949557222591372,0.9917548440291329,0.9929742388758782,0.9905783646241663,0.9929839042509286,0.9890953981208421,0.9914773499801897,0.0014879015030915296,1366,0.991937563390693,0.9919166208035224,0.9921595598349382,0.9914059814369199,0.9910129736231635,0.9916865398178475,0.00041763679301312287
4,0.5615997314453125,0.019437581696165697,0.06620378494262695,0.004073158014381924,True,gbdt,5,balanced,goss,gpu,True,False,0.1,255,5,5,32,binary,feature,"{'boost_from_average': 'True', 'boosting_type': 'gbdt', 'cat_l2': 5, 'class_weight': 'balanced', 'data_sample_strategy': 'goss', 'device': 'gpu', 'enable_bundle': 'True', 'gpu_use_dp': 'False', 'learning_rate': 0.1, 'max_bin': 255, 'max_depth': 5, 'n_estimators': 5, 'num_leaves': 32, 'objective': 'binary', 'tree_learner': 'feature'}",0.991701244813278,0.9929460580912863,0.9905255878284924,0.9929455702330728,0.9890033888927312,0.9914243699717723,0.001508323796276088,1371,0.9918911442304368,0.9918738545592862,0.9921159099553927,0.9913553138885527,0.9909576583274261,0.991638776192219,0.00042210911306841004,0.985390496996177,0.9890230515916575,0.9850909588291615,0.9876847290640394,0.9808215451577802,0.985602156327763,0.002799999975793056,1411,0.986291535621496,0.9867236954662104,0.9866967613966691,0.9856122483852227,0.9850042698548249,0.9860657021448846,0.0006654998975001284,0.9982019363762102,0.996957123098202,0.9961272475795298,0.9983402489626556,0.9975100290496611,0.9974273170132518,0.0008187287747389404,1283,0.9976486047235381,0.9971644939313254,0.9976831840658391,0.9972682319582281,0.9970954356846473,0.9973719900727158,0.00024643867025263836,0.996485961176824,0.9971177608282685,0.9969172649690375,0.9971448945359354,0.9960460183520081,0.9967423799724149,0.00042051959001668894,1433,0.9976149209836918,0.9972318518451707,0.9976952651331283,0.9976710735240516,0.9973060737395149,0.9975038370451115,0.0001949557222591372,0.9917548440291329,0.9929742388758782,0.9905783646241663,0.9929839042509286,0.9890953981208421,0.9914773499801897,0.0014879015030915296,1366,0.991937563390693,0.9919166208035224,0.9921595598349382,0.9914059814369199,0.9910129736231635,0.9916865398178475,0.00041763679301312287
5,0.5286002159118652,0.02107724819080799,0.062399101257324216,0.003201580136381429,True,gbdt,5,balanced,goss,gpu,True,False,0.1,255,5,5,64,binary,feature,"{'boost_from_average': 'True', 'boosting_type': 'gbdt', 'cat_l2': 5, 'class_weight': 'balanced', 'data_sample_strategy': 'goss', 'device': 'gpu', 'enable_bundle': 'True', 'gpu_use_dp': 'False', 'learning_rate': 0.1, 'max_bin': 255, 'max_depth': 5, 'n_estimators': 5, 'num_leaves': 64, 'objective': 'binary', 'tree_learner': 'feature'}",0.991701244813278,0.9929460580912863,0.9905255878284924,0.9929455702330728,0.9890033888927312,0.9914243699717723,0.001508323796276088,1371,0.9918911442304368,0.9918738545592862,0.9921159099553927,0.9913553138885527,0.9909576583274261,0.991638776192219,0.00042210911306841004,0.985390496996177,0.9890230515916575,0.9850909588291615,0.9876847290640394,0.9808215451577802,0.985602156327763,0.002799999975793056,1411,0.986291535621496,0.9867236954662104,0.9866967613966691,0.9856122483852227,0.9850042698548249,0.9860657021448846,0.0006654998975001284,0.9982019363762102,0.996957123098202,0.9961272475795298,0.9983402489626556,0.9975100290496611,0.9974273170132518,0.0008187287747389404,1283,0.9976486047235381,0.9971644939313254,0.9976831840658391,0.9972682319582281,0.9970954356846473,0.9973719900727158,0.00024643867025263836,0.996485961176824,0.9971177608282685,0.9969172649690375,0.9971448945359354,0.9960460183520081,0.9967423799724149,0.00042051959001668894,1433,0.9976149209836918,0.9972318518451707,0.9976952651331283,0.9976710735240516,0.9973060737395149,0.9975038370451115,0.0001949557222591372,0.9917548440291329,0.9929742388758782,0.9905783646241663,0.9929839042509286,0.9890953981208421,0.9914773499801897,0.0014879015030915296,1366,0.991937563390693,0.9919166208035224,0.9921595598349382,0.9914059814369199,0.9910129736231635,0.9916865398178475,0.00041763679301312287
6,0.4880016326904297,0.025713726051613157,0.059198188781738284,0.0026383262134414675,True,gbdt,5,balanced,goss,gpu,True,False,0.1,255,5,10,2,binary,feature,"{'boost_from_average': 'True', 'boosting_type': 'gbdt', 'cat_l2': 5, 'class_weight': 'balanced', 'data_sample_strategy': 'goss', 'device': 'gpu', 'enable_bundle': 'True', 'gpu_use_dp': 'False', 'learning_rate': 0.1, 'max_bin': 255, 'max_depth': 5, 'n_estimators': 10, 'num_leaves': 2, 'objective': 'binary', 'tree_learner': 'feature'}",0.9562240663900415,0.9570539419087137,0.9542876901798064,0.9562901998755101,0.9532471125250709,0.9554206021758285,0.0014196549185288203,1561,0.9546837719146581,0.9573982502852796,0.9552024620491718,0.9547018447760162,0.9553761302927091,0.9554724918635669,0.0010006720984573152,0.984290118925268,0.9848862802641233,0.9826598089639971,0.9845769682726204,0.9821927888153054,0.9837211930482628,0.0010840675054964775,1466,0.9835969106289076,0.9834789283234037,0.9840417708486542,0.9835263835263836,0.9839414985484879,0.9837170983751673,0.00022948197065611911,0.9272475795297372,0.9283540802213002,0.924896265560166,0.9271092669432919,0.9232258956978835,0.9261666175904757,0.001849524198718869,1561,0.9247899304955219,0.9304263632905703,0.9254123586569384,0.9248936685224247,0.9258644536652836,0.9262773549261478,0.002109976109139052,0.9928787861396632,0.9938680559142501,0.9912931652921493,0.9918451920734968,0.9914132737607686,0.9922596946360656,0.0009790321686396178,1546,0.9922621789351742,0.992041155847979,0.992607877895441,0.9926381094387878,0.9924341511036908,0.9923966946442146,0.00022306266680068663,0.9549177409016452,0.9557849768600926,0.9529034556465977,0.9549793417865793,0.9517969195664575,0.9540764869522744,0.0014841982842500304,1561,0.9532873514053003,0.9562173495859839,0.9538269624877483,0.9533093345689133,0.95401991698288,0.9541321830061651,0.001081157053803716
7,0.5224003791809082,0.05678921073730299,0.06099891662597656,0.003034455457713521,True,gbdt,5,balanced,goss,gpu,True,False,0.1,255,5,10,4,binary,feature,"{'boost_from_average': 'True', 'boosting_type': 'gbdt', 'cat_l2': 5, 'class_weight': 'balanced', 'data_sample_strategy': 'goss', 'device': 'gpu', 'enable_bundle': 'True', 'gpu_use_dp': 'False', 'learning_rate': 0.1, 'max_bin': 255, 'max_depth': 5, 'n_estimators': 10, 'num_leaves': 4, 'objective': 'binary', 'tree_learner': 'feature'}",0.9892807745504841,0.9904564315352697,0.9887966804979254,0.9900408050349263,0.9894183553496092,0.9895986093936429,0.0005844649302632857,1481,0.9898682527058336,0.9894014315847712,0.9896434869808777,0.989505351060703,0.9898165597607151,0.9896470164185802,0.0001778110687273885,0.9818825773055442,0.9842939087680962,0.9809471965160588,0.9829607415485279,0.9807065217391304,0.9821581891754715,0.0013308036639225792,1561,0.9823295086990569,0.9817878540305011,0.9822559771132756,0.9821197466112662,0.9825583375915516,0.9822102848091301,0.00025459292603855063,0.996957123098202,0.9968188105117566,0.996957123098202,0.997372060857538,0.998478351085904,0.9973166937303205,0.0006097512786127462,1364,0.9976831840658391,0.9973028113005291,0.9973028113005291,0.9971644939313254,0.9973374827109267,0.9973581566618298,0.00017303276962725049,0.9935001310430452,0.992875017456464,0.9947929615536923,0.9938743347210511,0.9931197763273675,0.993632444220324,0.0006722115654095676,1516,0.9937270330059433,0.9930961414611178,0.9956283366325601,0.9936892873675829,0.9938095372695721,0.9939900671473552,0.0008573536622548634,0.9893624322283989,0.9905167674546455,0.9888873645218823,0.9901139640258136,0.9895126465144972,0.9896786349490476,0.0005736937705560634,1481,0.9899468176359582,0.9894845183978044,0.98972220792368,0.9895849419193219,0.9898927498927499,0.989726247153903,0.00017594929714173955
8,0.5316016674041748,0.016340767170827337,0.06679978370666503,0.007654253973113021,True,gbdt,5,balanced,goss,gpu,True,False,0.1,255,5,10,8,binary,feature,"{'boost_from_average': 'True', 'boosting_type': 'gbdt', 'cat_l2': 5, 'class_weight': 'balanced', 'data_sample_strategy': 'goss', 'device': 'gpu', 'enable_bundle': 'True', 'gpu_use_dp': 'False', 'learning_rate': 0.1, 'max_bin': 255, 'max_depth': 5, 'n_estimators': 10, 'num_leaves': 8, 'objective': 'binary', 'tree_learner': 'feature'}",0.9915629322268327,0.9926694329183956,0.9908713692946058,0.9942596306798533,0.9896258385780483,0.9917978407395471,0.001578049896144958,1321,0.9918738545592862,0.9917701165323836,0.992548151734154,0.9927730424108301,0.9911651307941008,0.992026059206151,0.0005762699286492159,0.9853865064190112,0.989420170376477,0.9854993160054719,0.9889177726091121,0.9838687628161312,0.9866185056452407,0.0021664462609000297,1292,0.9863243187801293,0.9863880433667362,0.9872075523327405,0.9866807827601516,0.986172433857001,0.9865546262193516,0.00036581152182987815,0.9979253112033195,0.9959889349930844,0.9964038727524205,0.9997233748271093,0.9955733849771753,0.9971229757506219,0.001523824574062331,1431,0.9975794460389363,0.9973028113005291,0.9980289774888481,0.9990317784155746,0.9963001383125865,0.9976486303112949,0.0008944909810808157,0.9968374147981076,0.9977857264471648,0.9971085304239865,0.9970750207545411,0.9965476478154781,0.9970708680478557,0.0004100531824040848,1341,0.9975829973597509,0.99755847232084,0.9978030070649965,0.9974705928520625,0.9975828423951537,0.9975995823985608,0.00010978636321228475,0.9916162726772951,0.9926936862420734,0.9909215955983495,0.9942912167274228,0.9896864686468647,0.991841847978401,0.001566425511693072,1321,0.9919199559895475,0.9918153994291413,0.9925887713868111,0.9928178694158075,0.9912104167741713,0.9920704825990958,0.0005752650220976491
9,0.5654022693634033,0.03127160426642781,0.06599774360656738,0.004604571603979829,True,gbdt,5,balanced,goss,gpu,True,False,0.1,255,5,10,16,binary,feature,"{'boost_from_average': 'True', 'boosting_type': 'gbdt', 'cat_l2': 5, 'class_weight': 'balanced', 'data_sample_strategy': 'goss', 'device': 'gpu', 'enable_bundle': 'True', 'gpu_use_dp': 'False', 'learning_rate': 0.1, 'max_bin': 255, 'max_depth': 5, 'n_estimators': 10, 'num_leaves': 16, 'objective': 'binary', 'tree_learner': 'feature'}",0.9923236514522822,0.9930843706777317,0.9910096818810512,0.993982986375268,0.9906632547202434,0.9922127890213153,0.0012453165923166322,1240,0.9920813306130918,0.9922888066668972,0.9927210484456586,0.9927557530386072,0.9919777312885769,0.9923649340105664,0.00032115703666246975,0.9871356233748461,0.9890260631001372,0.9859019983575144,0.9883768631204704,0.983505997818975,0.9867893091543886,0.001960141990971068,1276,0.9873292010547584,0.9869010568076884,0.9878123930160904,0.9866470869476128,0.9867934856986451,0.987096644704959,0.00042394346004568035,0.9976486860304288,0.9972337482710927,0.9962655601659751,0.9997233748271093,0.9980633559275142,0.997786945044424,0.0011371822591747759,1198,0.99695701787752,0.9978215014350427,0.9977523427504409,0.9990317784155746,0.9973029045643154,0.9977731090085786,0.0007034370894573411,0.9976557547027236,0.998635143640395,0.9980510742660155,0.9982096756819533,0.9979085124135977,0.998092032140937,0.0003269572279430916,1189,0.9983199251262955,0.9982869259423974,0.9986346301434071,0.9986464375601103,0.9986292674579166,0.9985034372460253,0.00016373622144339812,0.9923643117562083,0.9931129476584023,0.9910566868464502,0.9940177404937083,0.9907312049433573,0.9922565783396253,0.0012339506169698623,1228,0.9921197522367515,0.9923312355995736,0.9927574876567633,0.9928008109826292,0.9920203618353168,0.9924059296622069,0.0003211428192317633
