,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_boost_from_average,param_boosting_type,param_class_weight,param_data_sample_strategy,param_device,param_learning_rate,param_max_depth,param_n_estimators,param_num_leaves,param_objective,param_reg_lambda,param_tree_learner,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,0.7538002967834473,0.0393776539435166,0.05999898910522461,0.001095409765109128,True,gbdt,balanced,goss,gpu,0.1,-1,2,8,binary,0,data,"{'boost_from_average': 'True', 'boosting_type': 'gbdt', 'class_weight': 'balanced', 'data_sample_strategy': 'goss', 'device': 'gpu', 'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 2, 'num_leaves': 8, 'objective': 'binary', 'reg_lambda': 0, 'tree_learner': 'data'}",0.984616383227314,0.9850048685491724,0.98539435248296,0.9866277182732879,0.9828627069133399,0.9849012058892148,0.0012224063600722182,1279,0.9808088614116435,0.9828120961488757,0.9838250517598344,0.9846133953969486,0.9826109525045419,0.9829340714443688,0.0012845058478214268,1259,0.9885758795274568,0.9872776840192133,0.9870180449175646,0.9887042326668398,0.9831212672033238,0.9869394216668796,0.002024423806279268,1270,0.9902294819677475,0.9905269736608571,0.9908714539348084,0.9915633725885495,0.9901641463885842,0.9906710857081092,0.0005116821127656569,1312
1,0.7657991886138916,0.04024699604033696,0.060000944137573245,0.0018984606810388315,True,gbdt,balanced,goss,gpu,0.1,-1,2,8,binary,1,data,"{'boost_from_average': 'True', 'boosting_type': 'gbdt', 'class_weight': 'balanced', 'data_sample_strategy': 'goss', 'device': 'gpu', 'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 2, 'num_leaves': 8, 'objective': 'binary', 'reg_lambda': 1, 'tree_learner': 'data'}",0.98390237569778,0.9850048685491724,0.98539435248296,0.9866277182732879,0.9828627069133399,0.9847584043833081,0.0012873199289895419,1288,0.9809056895884402,0.9828120961488757,0.9838250517598344,0.9846133953969486,0.9826109525045419,0.9829534370797282,0.0012526545011723711,1241,0.9870180449175646,0.9872776840192133,0.9870180449175646,0.9887042326668398,0.9831212672033238,0.9866278547449012,0.0018619493166517228,1288,0.9902416499173379,0.9905269736608571,0.9910946855799807,0.9916741962118513,0.9901885191580586,0.9907452049056171,0.0005650226743693498,1294
2,0.7458001136779785,0.03916446672848682,0.06019887924194336,0.0024816862367662753,True,gbdt,balanced,goss,gpu,0.1,-1,2,8,binary,2,data,"{'boost_from_average': 'True', 'boosting_type': 'gbdt', 'class_weight': 'balanced', 'data_sample_strategy': 'goss', 'device': 'gpu', 'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 2, 'num_leaves': 8, 'objective': 'binary', 'reg_lambda': 2, 'tree_learner': 'data'}",0.98390237569778,0.9850048685491724,0.98539435248296,0.9866277182732879,0.9828627069133399,0.9847584043833081,0.0012873199289895419,1288,0.9809056895884402,0.9828120961488757,0.9838250517598344,0.9846133953969486,0.9826109525045419,0.9829534370797282,0.0012526545011723711,1241,0.9870180449175646,0.9872776840192133,0.9870180449175646,0.9887042326668398,0.9831212672033238,0.9866278547449012,0.0018619493166517228,1288,0.9902416499173379,0.9905269736608571,0.9910946855799807,0.9916741962118513,0.9901885191580586,0.9907452049056171,0.0005650226743693498,1294
3,0.6718005180358887,0.04288383656626901,0.05879993438720703,0.001469608132977677,True,gbdt,balanced,goss,gpu,0.1,-1,2,16,binary,0,data,"{'boost_from_average': 'True', 'boosting_type': 'gbdt', 'class_weight': 'balanced', 'data_sample_strategy': 'goss', 'device': 'gpu', 'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 2, 'num_leaves': 16, 'objective': 'binary', 'reg_lambda': 0, 'tree_learner': 'data'}",0.9891600675061665,0.9905874716001298,0.9911716975008115,0.9910418695228822,0.9899383317104836,0.9903798875680947,0.000747155508209959,1115,0.9817182306315521,0.9843629838502947,0.9867490029589605,0.9866186309830159,0.983968192894703,0.9846834082637053,0.0018664539446442796,1130,0.9968843307802155,0.9970141503310399,0.9957159548227963,0.9955855621916385,0.9961049078161517,0.9962609811883685,0.0005888008031509422,1118,0.9938738081497589,0.9946194667366139,0.9941326097104147,0.9943821524850127,0.9948150472556986,0.9943646168674999,0.00033551870488279106,1198
4,0.6514000415802002,0.06483740504243617,0.05959920883178711,0.0025775694353988403,True,gbdt,balanced,goss,gpu,0.1,-1,2,16,binary,1,data,"{'boost_from_average': 'True', 'boosting_type': 'gbdt', 'class_weight': 'balanced', 'data_sample_strategy': 'goss', 'device': 'gpu', 'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 2, 'num_leaves': 16, 'objective': 'binary', 'reg_lambda': 1, 'tree_learner': 'data'}",0.9890302479553421,0.990392729633236,0.9909769555339175,0.9911716975008115,0.9896137617656605,0.9902370784777934,0.0008111869934979161,1133,0.9817135549872122,0.9839846252402307,0.9863683127572016,0.9866220735785953,0.9837095946639303,0.9844796322454339,0.0018246282992515981,1165,0.9966246916785668,0.9970141503310399,0.9957159548227963,0.9958452350038951,0.9957153985977668,0.9961830860868129,0.0005360540711834313,1140,0.993851359799545,0.9946010101788169,0.9941217886052953,0.994402774949364,0.9947919807722783,0.9943537828610598,0.0003351982244009131,1206
5,0.6178009510040283,0.0070537062710279794,0.05840082168579101,0.0022446540246925046,True,gbdt,balanced,goss,gpu,0.1,-1,2,16,binary,2,data,"{'boost_from_average': 'True', 'boosting_type': 'gbdt', 'class_weight': 'balanced', 'data_sample_strategy': 'goss', 'device': 'gpu', 'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 2, 'num_leaves': 16, 'objective': 'binary', 'reg_lambda': 2, 'tree_learner': 'data'}",0.9888355186291056,0.990392729633236,0.9911067835118468,0.9906523855890944,0.9898085037325544,0.9901591842191675,0.0007836839757480945,1142,0.9814601713335891,0.9839846252402307,0.9863718179480586,0.9867336424523442,0.984088284357757,0.9845277082663959,0.001906027362325293,1156,0.9964948721277425,0.9970141503310399,0.995975593924445,0.9946767073487406,0.9957153985977668,0.9959753444659469,0.0007877889178608391,1150,0.9937070044363636,0.9945635576934972,0.9941179877342604,0.9944016962099128,0.9947840587794339,0.9943148609706934,0.0003735734572962982,1214
6,0.6260013580322266,0.010198913131421709,0.05800023078918457,0.002097307010579483,True,gbdt,balanced,goss,gpu,0.1,-1,2,31,binary,0,data,"{'boost_from_average': 'True', 'boosting_type': 'gbdt', 'class_weight': 'balanced', 'data_sample_strategy': 'goss', 'device': 'gpu', 'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 2, 'num_leaves': 31, 'objective': 'binary', 'reg_lambda': 0, 'tree_learner': 'data'}",0.9914319096455926,0.9929892891918208,0.9924050632911392,0.9914313534566699,0.9920155793573515,0.9920546389885148,0.0005956795343034642,988,0.9858811449107945,0.9889275138406077,0.9884110224053567,0.9877577319587629,0.9881489115032848,0.9878252649237614,0.0010437408621445218,864,0.9971439698818642,0.9971439698818642,0.9964948721277425,0.9951960529732538,0.9959750714100234,0.9963907872549497,0.0007410278628092374,1110,0.9952929079105811,0.9963002102227215,0.9963249453812304,0.9960952160163953,0.9965206354597906,0.9961067829981438,0.00042867452218086217,1115
7,0.6410006523132324,0.03585456629649332,0.06140003204345703,0.004922934846784942,True,gbdt,balanced,goss,gpu,0.1,-1,2,31,binary,1,data,"{'boost_from_average': 'True', 'boosting_type': 'gbdt', 'class_weight': 'balanced', 'data_sample_strategy': 'goss', 'device': 'gpu', 'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 2, 'num_leaves': 31, 'objective': 'binary', 'reg_lambda': 1, 'tree_learner': 'data'}",0.9914319096455926,0.9924699772801039,0.9924699772801039,0.9916910094125284,0.9915611814345991,0.9919248110105855,0.00045260444855063826,1018,0.9857564480944437,0.9881611118260198,0.9879099678456592,0.9877640391550747,0.987384140061792,0.987395141396598,0.000857120679426597,1003,0.9972737894326885,0.9968843307802155,0.9971439698818642,0.9957153985977668,0.9958452350038951,0.9965725447392859,0.0006601757808386779,1086,0.9956204566422503,0.9964019235542523,0.9963491074594057,0.9963768175790573,0.9965900287460466,0.9962676667962025,0.0003344755782382255,1099
8,0.6194011211395264,0.01185908617977335,0.060801029205322266,0.0035433458776837584,True,gbdt,balanced,goss,gpu,0.1,-1,2,31,binary,2,data,"{'boost_from_average': 'True', 'boosting_type': 'gbdt', 'class_weight': 'balanced', 'data_sample_strategy': 'goss', 'device': 'gpu', 'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 2, 'num_leaves': 31, 'objective': 'binary', 'reg_lambda': 2, 'tree_learner': 'data'}",0.9913669998701804,0.9924699772801039,0.9925998052580332,0.9914962674456346,0.9918857513794223,0.9919637602466749,0.0004983105037535926,996,0.9853808668889459,0.9881611118260198,0.9879130770219879,0.9876336467860364,0.9877687652890433,0.9873714935624067,0.0010105397900588959,1011,0.9975334285343372,0.9968843307802155,0.9974036089835129,0.9954557257855102,0.9961049078161517,0.9966764003799454,0.0007903435807103566,1070,0.9951799161958594,0.9967225872837586,0.9962125794976195,0.9963703282870464,0.9965131095665883,0.9961997041661744,0.0005368194424283637,1107
9,0.6620007038116456,0.037335278966873775,0.05939903259277344,0.0022443007901299513,True,gbdt,balanced,goss,gpu,0.1,-1,2,64,binary,0,data,"{'boost_from_average': 'True', 'boosting_type': 'gbdt', 'class_weight': 'balanced', 'data_sample_strategy': 'goss', 'device': 'gpu', 'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 2, 'num_leaves': 64, 'objective': 'binary', 'reg_lambda': 0, 'tree_learner': 'data'}",0.9911073607685318,0.9925998052580332,0.99227523531321,0.9913015254787406,0.991755923401493,0.9918079700440018,0.0005648695682265023,1046,0.9862467866323907,0.9881641579827608,0.9891640866873065,0.9878803506962351,0.9881428019074623,0.9879196367812311,0.0009442690164612928,846,0.9961054134752694,0.9971439698818642,0.9954563157211476,0.9948065437548689,0.9954557257855102,0.995793593723732,0.0007903070493977466,1160,0.9960163868911813,0.9971141275662663,0.9971835208525224,0.9974167476929218,0.9971667835357256,0.9969795133077234,0.000492665528949394,1014
