iter	Logloss
0	0.6879335046
1	0.681276679
2	0.6763600111
3	0.6598323584
4	0.6536786556
5	0.6476826668
6	0.6433255672
7	0.6391050816
8	0.6350162029
9	0.6310546398
10	0.6272158623
11	0.621887207
12	0.6166936159
13	0.611631155
14	0.6066962481
15	0.6018852592
16	0.5971947908
17	0.593998313
18	0.5895024538
19	0.5851180553
20	0.5715085268
21	0.5686638355
22	0.564593792
23	0.5606231689
24	0.5579946041
25	0.5554437041
26	0.552967906
27	0.549272418
28	0.5456660986
29	0.543373704
30	0.5411478281
31	0.5389860868
32	0.5356172323
33	0.533565104
34	0.5303218365
35	0.5274791718
36	0.5243820548
37	0.5224909782
38	0.5206530094
39	0.5188664794
40	0.5159606934
41	0.513122201
42	0.5017609596
43	0.4990748763
44	0.4975031614
45	0.4949106574
46	0.4923769236
47	0.4909110367
48	0.489484489
49	0.4880957603
50	0.4774969518
51	0.4753170609
52	0.4740183651
53	0.4717776179
54	0.4695861638
55	0.4683707654
56	0.4662504196
57	0.4562995434
58	0.4542882442
59	0.4531858563
60	0.452110976
61	0.4501831532
62	0.4482962489
63	0.4464492202
64	0.4370807111
65	0.4353266954
66	0.434384048
67	0.4326830804
68	0.43101722
69	0.4301297665
70	0.429263413
71	0.4284175038
72	0.4195712805
73	0.4180304408
74	0.4172426462
75	0.4157459736
76	0.4142793417
77	0.4128419459
78	0.4044415355
79	0.4030734003
80	0.394956708
81	0.3942772448
82	0.3929995894
83	0.3851693273
84	0.3845259547
85	0.3838965297
86	0.3832805157
87	0.3820796609
88	0.3745553493
89	0.3672477007
90	0.3666849136
91	0.3661336899
92	0.3650358617
93	0.363958627
94	0.3634340167
95	0.3623841405
96	0.3618773818
97	0.3608539701
98	0.3603642583
99	0.3598841429
100	0.3594133854
101	0.3584281802
102	0.3574610651
103	0.3565114737
104	0.3555790484
105	0.3487696648
106	0.3478785753
107	0.3470032811
108	0.3461433947
109	0.3457332253
110	0.3453307152
111	0.3449356854
112	0.3441058695
113	0.343290478
114	0.3429123163
115	0.3421157002
116	0.3413327336
117	0.3405632973
118	0.3402053714
119	0.3394531608
120	0.3387137651
121	0.3379672468
122	0.337254405
123	0.3369158506
124	0.3365833759
125	0.3358898759
126	0.3295838237
127	0.3292685747
128	0.3286080956
129	0.327958256
130	0.3276554346
131	0.3273578286
132	0.327065289
133	0.3264355063
134	0.3261511326
135	0.3255344629
136	0.3249036372
137	0.3243085146
138	0.3237228096
139	0.3177285194
140	0.3174638748
141	0.3169051111
142	0.3163549304
143	0.3158133626
144	0.3155608475
145	0.3150299191
146	0.309263438
147	0.3087540269
148	0.3085159063
149	0.3082816601
150	0.3026941419
151	0.3022095561
152	0.3019859195
153	0.3017658591
154	0.2963498235
155	0.2958881259
156	0.2954334319
157	0.2949853539
158	0.2947787344
159	0.294339031
160	0.2941373587
161	0.2937057614
162	0.293261677
163	0.2928439379
164	0.2924320698
165	0.2922385335
166	0.2920479476
167	0.2918601632
168	0.2914589345
169	0.2910631895
170	0.2908813357
171	0.2904927731
172	0.290315032
173	0.2851764858
174	0.2850047946
175	0.2846337557
176	0.2796438038
177	0.2792867422
178	0.2789345682
179	0.2785871625
180	0.2782444954
181	0.2779063582
182	0.277572751
183	0.2772436142
184	0.2769090533
185	0.276589483
186	0.2762739956
187	0.2714908421
188	0.2713396847
189	0.2666850984
190	0.2663893998
191	0.2662443817
192	0.2617203891
193	0.2615799308
194	0.2612871528
195	0.2610083818
196	0.2608705163
197	0.2605962455
198	0.2604612708
199	0.2601912022
200	0.2599178553
201	0.2596552074
202	0.2593956888
203	0.2591392696
204	0.2588858306
205	0.2586354017
206	0.2583878934
207	0.2581432462
208	0.2580167949
209	0.2578921318
210	0.2577691674
211	0.2576480508
212	0.2574093938
213	0.2571733594
214	0.256940186
215	0.2567096055
216	0.2564816475
217	0.2562563419
218	0.2560334802
219	0.2559190392
220	0.2558062077
221	0.2515192926
222	0.2473425567
223	0.2472352386
224	0.2431669384
225	0.2429630905
226	0.2427614331
227	0.2425621152
228	0.2423648387
229	0.2421684712
230	0.2419768423
231	0.241786927
232	0.2416849285
233	0.2414976358
234	0.2413975447
235	0.2412128001
236	0.2410299033
237	0.2408488691
238	0.2406697124
239	0.2405731678
240	0.2366588116
241	0.2364859283
242	0.2363147736
243	0.2361452878
244	0.2359775007
245	0.2321751714
246	0.2320125699
