iter	Logloss	Precision
0	0.4199036129	0.9870769905
5	0.07694641314	0.9878519248
10	0.03804107246	0.9892375945
15	0.02922018301	0.989809336
20	0.02533645163	0.9902436351
25	0.02367742799	0.9904610493
30	0.02265380718	0.9910048267
35	0.02137436854	0.9912225361
40	0.02065580026	0.9914128944
45	0.01987335349	0.9916847334
50	0.01911505639	0.9918208267
55	0.01876886689	0.9919299498
60	0.01809968019	0.992012078
65	0.0178044324	0.9921754887
70	0.01702330937	0.9924207058
75	0.01644950224	0.9925024717
80	0.01578618286	0.9927207801
85	0.015570467	0.9929664533
90	0.01498964275	0.9930481136
95	0.01481603809	0.993266641
100	0.01465628027	0.99340315
105	0.014174979	0.9937310971
110	0.01408937293	0.9938130723
115	0.0139187931	0.9939222265
120	0.01387684061	0.9939497277
125	0.01375416584	0.993977229
130	0.01293562798	0.9940865834
135	0.01271328924	0.9942506602
140	0.01241116362	0.9943875867
145	0.01232646507	0.9944423045
150	0.01211251363	0.9944970284
155	0.01208583048	0.9945243926
160	0.01177458816	0.9947159841
165	0.01169332558	0.9947707382
170	0.01158216339	0.9948528805
175	0.01118523564	0.9950993888
180	0.01116545227	0.9951267862
185	0.0110910557	0.9951817181
190	0.01097120483	0.9952913316
195	0.01080882403	0.9953735577
200	0.01064338886	0.9955106313
205	0.01057660881	0.9955380505
210	0.01055901956	0.9955928935
215	0.01029045998	0.9956477426
220	0.0101278926	0.9957025977
225	0.0100553761	0.9957300275
230	0.009954610436	0.9957299099
235	0.0099387417	0.9957299099
240	0.009752764208	0.995839762
245	0.00972640946	0.9958946382
250	0.009560000059	0.995976964
255	0.009463708738	0.9961142038
260	0.0094047875	0.9961690048
265	0.009131765388	0.9962239189
270	0.0091209037	0.9962239189
275	0.009115289661	0.9962239189
280	0.008961905674	0.996278839
285	0.008875726377	0.9963063013
290	0.008873563495	0.9963063013
295	0.008808493829	0.9963886975
300	0.008797219319	0.9963886975
305	0.008792468069	0.9963886975
310	0.008664372584	0.9964436358
315	0.008649571782	0.9964436358
320	0.008644182305	0.9964436358
325	0.008608693981	0.9964436358
330	0.008518199894	0.9964985801
335	0.008487854536	0.9965260546
340	0.008484078356	0.9965260546
345	0.00846294171	0.9965260546
350	0.008459159621	0.9965260546
355	0.008442572457	0.9965260546
360	0.008438225587	0.9965260546
365	0.008365976705	0.9966084871
370	0.008357589415	0.9966084871
375	0.008356478426	0.9966084871
380	0.00828799306	0.9966359676
385	0.008282538578	0.9966359676
390	0.008203369654	0.9967184182
395	0.008169830625	0.9967459048
400	0.008117739097	0.9967459048
405	0.008088655843	0.9967459048
410	0.008086969943	0.9967459048
415	0.008083552555	0.9967459048
420	0.008083022387	0.9967459048
425	0.008040390304	0.9968008825
430	0.008035355397	0.9968283736
435	0.008014908476	0.9968558663
440	0.007967294672	0.9968558663
445	0.007878398687	0.9968558663
450	0.007877058915	0.9968558663
455	0.007857408091	0.9968283736
460	0.007855155721	0.9968283736
465	0.007853162526	0.9968283736
470	0.007852098814	0.9968283736
475	0.007850699103	0.9968283736
480	0.007805681264	0.9968283736
485	0.007786153695	0.9968283736
490	0.007784660276	0.9968283736
495	0.007753695263	0.9968283736
499	0.007752093785	0.9968283736
